# Expression data file generated by Gemma on 01/26/2021
# shortName=GSE108605
# name=Transcriptomic analysis of hiPSC-derived neurons, pre-treated or not with KU-55933 compound (ATMi), after camptothecin (CPT) exposure and release.
# Experiment details: https://gemma.msl.ubc.ca/expressionExperiment/showExpressionExperiment.html?id=14914
# If you use this file for your research, please cite: 
# Zoubarev, A., et al., Gemma: A resource for the re-use, sharing and meta-analysis of expression profiling data. Bioinformatics, 2012. 
Probe	Sequence	GeneSymbol	GeneName	GemmaId	NCBIid	GSE108605_Biomat_8___BioAssayId=469713Name=Ctrl_untreated_rep3	GSE108605_Biomat_1___BioAssayId=469715Name=Ctrl_untreated_rep2	GSE108605_Biomat_3___BioAssayId=469717Name=Ctrl_untreated_rep1	GSE108605_Biomat_9___BioAssayId=469712Name=Ctrl_3h_post_CPT_rep3	GSE108605_Biomat_2___BioAssayId=469714Name=Ctrl_3h_post_CPT_rep2	GSE108605_Biomat_4___BioAssayId=469716Name=Ctrl_3h_post_CPT_rep1	GSE108605_Biomat_5___BioAssayId=469711Name=Ctrl_ATMi_untreated_rep3	GSE108605_Biomat_11___BioAssayId=469719Name=Ctrl_ATMi_untreated_rep2	GSE108605_Biomat_6___BioAssayId=469721Name=Ctrl_ATMi_untreated_rep1	GSE108605_Biomat_7___BioAssayId=469710Name=Ctrl_ATMi_3h_post_CPT_rep3	GSE108605_Biomat_12___BioAssayId=469718Name=Ctrl_ATMi_3h_post_CPT_rep2	GSE108605_Biomat_10___BioAssayId=469720Name=Ctrl_ATMi_3h_post_CPT_rep1
A_23_P100292	A_23_P100292	ZNF598	zinc finger protein 598	368129	90850	13.66808315	13.46447427	13.74253532	14.11213752	14.20054922	14.24094027	13.78119081	13.8380683	13.67536185	14.09261617	14.18939753	14.10931686
A_23_P100315	A_23_P100315	DECR2	2,4-dienoyl-CoA reductase 2	252407	26063	12.2369675	12.36627876	12.07212804	13.05542502	13.11766328	12.94864992	12.00863721	12.15163541	12.35525379	12.81817069	13.03805589	12.87375589
A_23_P100326	A_23_P100326	NPRL3	NPR3 like, GATOR1 complex subunit	175450	8131	13.04862348	13.05190683	13.22626516	12.91032622	13.04560661	13.00978176	13.36469858	13.34065143	13.32444437	13.16396173	13.25159285	13.20677427
A_23_P100344	A_23_P100344	ORC6	origin recognition complex subunit 6	244993	23594	9.421816338	9.60091131	9.727101807	9.94365664	9.947999663	10.0514807	8.829944993	9.311394925	8.866134595	9.597504292	9.626910902	9.577184806
A_23_P100355	A_23_P100355	PPP4C	protein phosphatase 4 catalytic subunit	130411	5531	11.55559603	11.90658536	11.69998328	11.94079205	12.03817134	11.93618915	11.49807235	11.63629358	11.85493438	11.93522176	11.91466844	12.08555089
A_23_P100392	A_23_P100392	ELOB	elongin B	158472	6923	12.25074782	12.51486976	12.20497021	12.62909407	12.66947501	12.48207754	12.4290518	12.49494653	12.43109523	12.58656473	12.6861763	12.61648229
A_23_P100420	A_23_P100420	ZCCHC14	zinc finger CCHC-type containing 14	237718	23174	13.0307829	13.22204447	12.79460567	11.99209063	12.08785333	11.88359181	12.94208344	13.03215332	13.31446289	12.3653971	12.28481686	12.36016147
A_23_P100455	A_23_P100455	MTHFSD	methenyltetrahydrofolate synthetase domain containing	328429	64779	8.745719555	8.804791329	8.684022251	8.27495466	8.258352308	8.247083867	8.837623998	8.855597481	9.969723297	8.558190815	8.518011766	8.391490967
A_23_P100486	A_23_P100486	VKORC1	vitamin K epoxide reductase complex subunit 1	331997	79001	12.22962326	12.18103832	12.37991626	12.51521317	12.61318608	12.6588079	12.3442508	12.5762102	12.36025111	12.56266989	12.76433126	12.65946985
A_23_P100501	A_23_P100501	HMOX2	heme oxygenase 2	70912	3163	12.40040823	12.63867754	12.50404541	12.60618731	12.58197881	12.55428063	12.32498481	12.46374095	12.42979466	12.55149989	12.67766808	12.56579448
A_23_P100517	A_23_P100517	TMEM170A	transmembrane protein 170A	382290	124491	10.08896191	10.11966428	9.766624272	10.22655236	10.27933601	10.17961487	9.830886008	10.02130489	10.12533588	10.13734747	10.33070133	10.05858699
A_23_P100539	A_23_P100539	ABCC6	ATP binding cassette subfamily C member 6	8842	368	6.016018689	5.92323777	5.839807702	6.141504539	6.132879569	6.112532862	5.749135753	5.785900234	5.786777609	6.114423723	5.790101139	6.044680035
A_23_P100602	A_23_P100602	TBCD	tubulin folding cofactor D	158095	6904	9.827231892	9.620205248	9.77196163	9.933605738	10.05652152	9.879506033	10.00799522	9.516898578	9.518819033	10.06670293	9.806951499	9.851648559
A_23_P10062	A_23_P10062	MGAT4C	MGAT4 family member C	248484	25834	8.307306827	8.574965179	7.474607254	7.597260491	7.692809969	7.131167053	7.882162517	7.416146615	8.122020603	7.386394466	7.618808159	7.188270088
A_23_P100632	A_23_P100632	JPT1	Jupiter microtubule associated homolog 1	272773	51155	16.27008103	16.20929353	16.31487189	15.88814055	16.05335698	15.9882968	16.30544956	16.53914354	16.33280401	15.87917925	16.11860457	16.02264798
A_23_P100642	A_23_P100642	PNMT	phenylethanolamine N-methyltransferase	128174	5409	7.281580737	7.291935113	6.932904308	7.945671864	8.187660528	7.716672075	6.940259047	7.302003006	7.226085519	7.593087085	7.892571134	7.624290507
A_23_P100654	A_23_P100654	ZBTB4	zinc finger and BTB domain containing 4	318178	57659	10.9613817	10.80911858	10.84189988	10.11062356	10.23492641	10.35403177	11.1532015	11.20444178	11.05204124	10.47475065	10.48108409	10.44737961
A_23_P100660	A_23_P100660	SERPINF1	serpin family F member 1	123844	5176	10.56383942	10.58201565	10.55828981	10.93388088	11.09748731	10.96442849	11.13261112	11.56858464	11.21736533	11.54504399	11.93059849	11.45946952
A_23_P100676	A_23_P100676	SMG6	SMG6, nonsense mediated mRNA decay factor	240032	23293	9.55718839	9.501778309	9.272066952	8.616211326	8.709348112	8.416227856	9.537809533	9.905660253	9.830727923	9.08725087	9.0732445	9.153318052
A_23_P100704	A_23_P100704	MAPK7	mitogen-activated protein kinase 7	131835	5598	11.83226995	12.02859565	11.92443009	11.93542084	11.99843335	12.00877185	12.05744125	12.21717376	12.33296082	12.19001783	12.0968369	12.23925146
A_23_P100711	A_23_P100711	PMP22	peripheral myelin protein 22	127823	5376	12.97090983	13.15194942	13.15642599	13.20558039	13.37554639	13.10329441	12.78175999	12.96596254	12.74010037	13.01970416	13.09197631	12.86669957
A_23_P100764	A_23_P100764	SLC25A39	solute carrier family 25 member 39	280050	51629	11.82400798	11.84408986	12.22329462	12.32477977	12.40290151	12.38010406	12.00324593	12.09600694	11.79421737	12.23545828	12.36199296	12.34530617
A_23_P10077	A_23_P10077	PNPLA2	patatin like phospholipase domain containing 2	312504	57104	8.660801053	9.027891101	8.672955285	10.21545276	10.40347229	10.21933224	8.756288579	8.96264167	9.134729524	10.45691874	10.51323655	10.55798621
A_23_P100795	A_23_P100795	STAT3	signal transducer and activator of transcription 3	155515	6774	8.082289062	8.450366917	8.601750863	8.47682751	8.733625067	8.526624321	8.663702576	8.735944868	8.415089175	8.919505634	8.465822339	8.820931541
A_23_P10081	A_23_P10081	ARL13B	ADP ribosylation factor like GTPase 13B	406349	200894	8.009461273	8.554595167	7.38528706	7.577395265	7.540648727	7.184049508	7.416613645	7.549960736	8.107641151	7.419593833	7.508124892	7.667561978
A_23_P100868	A_23_P100868	MYO19	myosin XIX	343475	80179	10.12270214	10.02451864	10.57584566	9.757375427	9.783505625	9.803624597	9.901921246	10.24592923	9.843592296	9.674035581	9.421988301	9.645763059
A_23_P100883	A_23_P100883	SUZ12	SUZ12, polycomb repressive complex 2 subunit	243518	23512	11.95836171	12.00213562	12.02702515	11.46476648	11.45520977	11.42975063	12.10625958	12.00038775	11.99245961	11.56965556	11.42021568	11.51715429
A_23_P100912	A_23_P100912	GIT1	GIT ArfGAP 1	263049	28964	7.723915562	7.601192198	7.553428896	7.878825409	8.097114727	7.893502766	7.549388982	7.837104264	7.821245127	8.11711995	8.116184556	8.072155077
A_23_P101093	A_23_P101093	COPZ2	coatomer protein complex subunit zeta 2	273896	51226	5.611807913	5.620212759	5.583385474	5.828097963	5.868557787	5.702851095	6.110147433	6.664819778	5.994771057	6.742222948	6.751617778	6.584327585
A_23_P101111	A_23_P101111	CTDP1	CTD phosphatase subunit 1	191232	9150	10.09500139	10.09448897	10.13522759	9.817463143	9.822751301	9.795061947	9.933659822	10.1737308	10.19706208	10.09884137	9.921524908	10.03513669
A_23_P101185	A_23_P101185	NARS	asparaginyl-tRNA synthetase	114405	4677	11.71510102	11.79073146	11.57402342	11.96985127	11.98979963	11.80172128	11.75179183	11.47405948	11.5547318	11.96782961	11.88294341	11.7055251
A_23_P101208	A_23_P101208	CYB5A	cytochrome b5 type A	32552	1528	12.34367198	12.36710475	12.21649021	12.46167889	12.51252667	12.35379012	11.99626245	11.98026374	12.09060365	12.16314696	12.35968697	12.08778235
A_23_P10121	A_23_P10121	SFRP1	secreted frizzled related protein 1	148221	6422	9.890001285	10.33735848	9.842833904	10.52035136	10.65028705	10.33601103	9.297089445	10.04329252	9.715448688	10.29384141	10.35865895	10.36559598
A_23_P101237	A_23_P101237	C18orf21	chromosome 18 open reading frame 21	351018	83608	11.22672185	11.2199705	11.19473362	11.78319049	11.83488318	11.85017531	11.23614341	11.32619302	11.2058214	11.84482454	11.93703788	11.9107856
A_23_P101246	A_23_P101246	VSIG10L	V-set and immunoglobulin domain containing 10 like	394010	147645	10.70525013	10.58992531	10.48677463	10.47619396	10.65360796	10.37944073	10.78715735	10.71744856	11.03045329	10.58003565	10.8328774	10.73176718
A_23_P101281	A_23_P101281	ZNF587	zinc finger protein 587	362341	84914	11.61514744	11.48676588	11.66800428	11.30012026	11.31693147	11.34180186	11.91325264	11.81897915	11.84323043	11.35469076	11.24710043	11.32054194
A_23_P101332	A_23_P101332	KRI1	KRI1 homolog	330515	65095	11.52547399	11.56096064	11.81876017	11.61739031	11.65892475	11.74296623	11.78511774	11.98475186	11.7778636	11.58165117	11.5877139	11.69745358
A_23_P101342	A_23_P101342	ATG4D	autophagy related 4D cysteine peptidase	363244	84971	6.864727914	6.74557788	6.955692955	7.356183191	7.378256847	7.400495747	6.826478221	6.934569997	6.752053657	7.613648634	7.505404767	7.60419666
A_23_P101351	A_23_P101351	ZNF426	zinc finger protein 426	333109	79088	9.899210084	10.04272607	9.731523319	10.76769065	10.86275623	10.42802369	9.91235312	9.972266672	10.0649739	10.56199907	10.64414771	10.68588293
A_23_P101380	A_23_P101380	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	429963	374907	6.783875837	6.989427495	7.031843583	6.81806287	6.991124743	7.385169759	6.810454633	7.287645044	6.634836313	6.796091184	6.683559617	6.840174481
A_23_P101392	A_23_P101392	TMEM38A	transmembrane protein 38A	332577	79041	9.861971935	9.808237701	9.670114253	9.93703733	10.07669763	9.877143648	9.793840059	9.763431142	9.922338764	9.815539237	9.935735269	9.790656384
A_23_P1014	A_23_P1014	LINC00467	long intergenic non-protein coding RNA 467	360838	84791	8.464720823	8.346638557	8.786842092	8.320064857	8.399241172	8.593880735	8.601547696	8.544164142	8.294479874	8.600126909	8.767790856	8.492672933
A_23_P101461	A_23_P101461	CCDC130	coiled-coil domain containing 130	348173	81576	14.18511766	14.2321857	14.17207704	14.25782615	14.30933556	14.26771203	14.55387189	14.60214842	14.62555542	14.50170475	14.60314114	14.5794591
A_23_P101476	A_23_P101476	ZNF563|ZNF442	zinc finger protein 563|zinc finger protein 442	394274|341318	147837|79973	5.834072107	5.948306188	5.729166606	6.839229688	6.768512636	6.955633817	5.73722823	5.943561633	5.809993977	7.14234657	7.138008057	7.125633906
A_23_P101480	A_23_P101480	MAST1	microtubule associated serine/threonine kinase 1	234458	22983	13.81179837	14.0697431	13.54171483	13.41161438	13.56955545	13.18072082	13.89857518	13.72915556	14.3184923	13.59384063	13.62249517	13.60845415
A_23_P101516	A_23_P101516	KCNC3	potassium voltage-gated channel subfamily C member 3	80884	3748	11.96513045	11.86715121	11.93004597	12.00227639	12.04538415	12.23598263	12.03661653	11.79326683	12.13035723	12.04357909	12.09372452	12.09484516
A_23_P101551	A_23_P101551	BCAT2	branched chain amino acid transaminase 2	13007	587	9.500454379	9.890961384	9.531762952	10.11961069	10.14484959	10.1202792	9.627917594	9.544195256	9.789386035	10.00632749	9.99934469	9.861798977
A_23_P10156	A_23_P10156	CHMP6	charged multivesicular body protein 6	335988	79643	9.690437687	9.664974977	9.630028549	9.742478528	9.785136643	9.869256758	9.396370896	9.537139611	9.600917781	9.97481994	9.970734041	10.06227868
A_23_P101615	A_23_P101615	ZNF565	zinc finger protein 565	394348	147929	9.292123182	9.472734728	9.190752896	9.902580051	9.930852051	9.798080856	9.345979655	9.456519137	9.528912928	10.12015879	10.24229418	10.13112789
A_23_P101623	A_23_P101623	ZNF667	zinc finger protein 667	323527	63934	6.906671615	7.174447372	6.931676281	7.393060913	7.517175415	7.416472992	6.636241888	6.456558774	6.777351051	6.836051097	6.997813053	6.717481281
A_23_P101642	A_23_P101642	PTPRH	protein tyrosine phosphatase, receptor type H	136282	5794	6.433597566	6.552795896	6.668137053	7.051275493	7.156111874	7.149137644	7.346608937	8.59150589	7.312058293	8.182502687	8.354524146	8.002329772
A_23_P101655	A_23_P101655	ACTN4	actinin alpha 4	2610	81	10.50950984	10.80128889	10.52792603	10.7939653	10.82232246	10.67926495	10.33446223	10.41661763	10.59480302	10.70601863	10.62199933	10.66792758
A_23_P101671	A_23_P101671	ATCAY	ATCAY, caytaxin	363944	85300	13.39709675	13.47032578	13.22388125	13.11068105	13.26185115	13.0095398	13.71918806	13.67101102	13.66857684	13.47391913	13.43069283	13.43553379
A_23_P101707	A_23_P101707	PLIN3	perilipin 3	210621	10226	9.669200423	9.948530568	9.587256671	9.754843384	9.807066752	9.61360432	9.463746998	9.619277094	9.736411504	9.558257592	9.708205552	9.514470342
A_23_P101737	A_23_P101737	DOT1L	DOT1 like histone lysine methyltransferase	358079	84444	10.13061527	10.19551105	10.25573018	10.26542916	10.30515741	10.36032317	10.31317464	10.24476847	10.5348613	10.44801691	10.33822233	10.53047786
A_23_P101796	A_23_P101796	SYDE1	synapse defective Rho GTPase homolog 1	364161	85360	7.567163694	7.778648754	7.699614823	8.392438346	8.408261994	8.369591903	7.590467634	7.840862614	7.478818997	7.938188492	8.147946747	8.048720464
A_23_P101811	A_23_P101811	ZNF14	zinc finger protein 14	170368	7561	8.888130327	8.991167753	8.612336506	8.913822824	8.984869258	8.831325396	8.750156619	8.696007559	8.898389996	9.058199158	9.123137917	8.9117072
A_23_P10182	A_23_P10182	ACOX2	acyl-CoA oxidase 2	176673	8309	7.540838812	7.325352962	7.386170854	7.103629337	7.401378093	7.365048898	7.557687942	7.35099141	7.359347366	7.245354103	7.527600139	7.191143585
A_23_P101829	A_23_P101829	LPAR2	lysophosphatidic acid receptor 2	191517	9170	10.76473424	10.62797197	10.85056186	10.80566691	10.93258939	9.832019281	11.08074958	10.9366881	11.1229114	10.95123336	11.0068379	11.18795114
A_23_P101871	A_23_P101871	FBXO17	F-box protein 17	376880	115290	7.142558304	7.238284243	7.209473118	6.986941842	7.106298379	6.98097821	7.46718768	7.539720584	7.568897556	7.398765438	7.348875317	7.34323275
A_23_P101905	A_23_P101905	APC2	APC2, WNT signaling pathway regulator	212139	10297	17.14292428	17.16463601	16.8701112	16.68641974	16.86715545	16.60043442	17.04130735	17.06315393	17.27033186	16.72804772	16.87789987	16.83529511
A_23_P10194	A_23_P10194	SEZ6L2	seizure related 6 homolog like 2	255441	26470	14.65089172	14.72046004	14.16994872	14.69957866	14.81370784	14.44582753	14.42449595	14.49780586	14.84929289	14.65037221	14.83129311	14.710043
A_23_P101950	A_23_P101950	MDH1	malate dehydrogenase 1	89993	4190	15.32968454	15.18694431	15.33928901	15.06516195	15.12385929	15.07824633	15.32128129	15.33781967	15.1406603	14.94640912	15.03580677	14.93384675
A_23_P101960	A_23_P101960	ZFP36L2	ZFP36 ring finger protein like 2	14932	678	10.05228513	10.16601478	10.17769263	10.75957505	10.92418243	11.04155081	10.23743364	10.24017623	9.982590126	10.81596224	10.70231396	10.62119996
A_23_P102000	A_23_P102000	CXCR4	C-X-C motif chemokine receptor 4	173178	7852	15.13170836	14.82760334	14.97765192	15.09319603	15.20758165	15.16814179	15.1568828	15.35219118	15.13793912	15.33008991	15.26983317	15.43327639
A_23_P102017	A_23_P102017	ERMN	ermin	315535	57471	6.860710068	7.084976327	6.781580163	7.163667256	7.344990585	7.079365784	6.430931111	6.299226985	6.771794402	6.865741627	7.067475136	6.845124992
A_23_P102037	A_23_P102037	COQ10B	coenzyme Q10B	344011	80219	7.653576748	7.946725813	7.669827454	8.389733156	8.513361817	8.384443136	7.593285946	7.707219235	7.624149793	8.645741774	8.660973147	8.60810546
A_23_P10206	A_23_P10206	HAS2	hyaluronan synthase 2	59882	3037	6.261187132	6.269705075	5.961343514	6.176647542	6.256797663	6.353218169	6.211637204	6.066895612	6.348747078	6.760498128	6.254584569	6.560259218
A_23_P102060	A_23_P102060	ITPRID2	ITPR interacting domain containing 2	154937	6744	10.5926753	10.81768124	10.22220157	10.67432108	10.7236158	10.41978651	10.6706621	10.4340537	10.65551414	10.87519358	10.68751685	10.58566157
A_23_P102109	A_23_P102109	TUBA4A|TUBA4B	tubulin alpha 4a|tubulin alpha 4b	164999|342557	7277|80086	6.655249774	6.864534874	7.510812462	8.083863719	8.202549895	8.008915904	6.56737793	6.935930299	6.347664392	7.902810912	7.957948315	7.905467986
A_23_P102117	A_23_P102117	WNT10A	Wnt family member 10A	345061	80326	5.469747398	5.456496999	5.186898431	5.481488845	5.595656483	5.183248244	5.160611024	5.779384474	5.421576481	5.456465678	5.852850313	5.803247864
A_23_P102122	A_23_P102122	ARPC2	actin related protein 2/3 complex subunit 2	208289	10109	14.68569568	14.86936367	14.7942442	14.64633088	14.76355607	14.75727816	14.6532472	14.7763362	14.60120244	14.51397918	14.63297763	14.54959582
A_23_P102202	A_23_P102202	MSH6	mutS homolog 6	58366	2956	13.77072053	13.60261716	13.89999282	13.15852264	13.03397056	13.15822913	13.59220251	13.76497315	13.50972691	13.28282831	13.07924557	13.20658002
A_23_P102235	A_23_P102235					12.07218146	12.05798632	12.23638321	12.22905256	12.08878783	12.28017337	11.93261055	11.74504348	11.63794945	12.13734396	11.90747566	11.97590019
A_23_P102242	A_23_P102242					8.943677789	9.211853072	8.851441969	8.772841961	8.76487996	8.641532732	8.90350821	9.056040978	8.994080956	8.966639535	8.835719213	8.868560506
A_23_P102258	A_23_P102258	MRPL53	mitochondrial ribosomal protein L53	378370	116540	12.74739516	12.65123434	12.63148783	12.83594088	12.84933399	12.88235557	12.62040272	12.69486716	12.61300182	12.83298159	12.95634111	12.6586196
A_23_P102262	A_23_P102262	MRPL19	mitochondrial ribosomal protein L19	202453	9801	12.05840226	11.81840347	12.08434941	11.68821558	11.75818182	11.66686239	11.84852875	11.97289917	11.67363433	11.37133909	11.45671867	11.34102891
A_23_P102320	A_23_P102320	NUP35	nucleoporin 35	385640	129401	11.80200898	11.55734071	12.25014808	11.13396421	11.14180305	11.35378187	11.8213024	12.10749831	11.70925582	11.42638255	11.04767447	11.41007607
A_23_P102351	A_23_P102351	CHST10	carbohydrate sulfotransferase 10	196589	9486	8.893171942	8.764874572	9.172088946	8.730894882	8.816076755	8.878958559	8.818134315	9.085063014	8.806263696	8.560521293	8.598207382	8.885105098
A_23_P102364	A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor	247609	25791	10.85120455	10.76865604	10.6380924	10.94270562	11.1008298	10.80129518	10.72623902	10.35472152	10.71569827	10.75307701	10.89530696	10.77359914
A_23_P102391	A_23_P102391	SLC40A1	solute carrier family 40 member 1	267563	30061	9.195401844	9.322736444	8.800602276	8.748962807	8.943481728	8.684820469	8.730196712	8.984622613	8.882076383	8.242111336	8.270941898	8.026335593
A_23_P102404	A_23_P102404	CCT7	chaperonin containing TCP1 subunit 7	217809	10574	14.0190412	14.25681474	13.90329895	14.18685404	14.21320534	14.01853426	13.75353871	13.90187396	13.84789414	13.9483527	14.06337047	13.95077309
A_23_P102412	A_23_P102412	PLEKHA3	pleckstrin homology domain containing A3	331106	65977	9.483967097	9.354024633	9.494856009	9.542664805	9.719384071	9.643055732	9.788350041	9.716343324	9.441542748	9.902355715	9.831808222	9.800086845
A_23_P102420	A_23_P102420	CCT4	chaperonin containing TCP1 subunit 4	217876	10575	15.74281673	15.59454321	15.72114468	15.37023811	15.48396794	15.34232144	15.56333049	15.70563399	15.56851751	15.13207417	15.35310076	14.79221577
A_23_P102462	A_23_P102462	FBLN7	fibulin 7	385900	129804	7.221220228	7.063250019	7.187184935	7.546099606	7.643220286	7.582204797	6.751358966	6.886746195	6.855534444	7.139877369	7.280167236	7.151912765
A_23_P102471	A_23_P102471	MSH2	mutS homolog 2	93732	4436	11.98964372	12.05835717	12.2079231	11.35378603	11.37343723	11.30723671	11.86886522	12.13389175	11.84765635	10.997037	10.97788032	10.9639926
A_23_P102508	A_23_P102508	SLC5A6	solute carrier family 5 member 6	187017	8884	9.776914853	9.665640166	10.05796636	10.34126736	10.35380942	10.58876397	9.531206014	9.679278936	9.382143167	10.0975022	10.15871113	10.16485893
A_23_P102517	A_23_P102517	PDE6D	phosphodiesterase 6D	122972	5147	10.48611549	10.62907432	10.20637788	10.29611775	10.30415436	9.931855513	10.37050316	10.51727258	10.59345723	10.35134386	10.27779965	10.27485881
A_23_P102542	A_23_P102542	AFTPH	aftiphilin	288432	54812	10.28862647	10.0579892	10.18852987	9.867125883	9.869308362	9.754547016	10.48218339	10.54808923	10.38000429	10.0414746	10.01759871	9.980892523
A_23_P102571	A_23_P102571	SLC2A4RG	SLC2A4 regulator	309332	56731	13.41863467	13.56493606	13.68121087	13.60912419	13.70526142	13.97221757	13.51786529	13.55805548	13.5222496	13.65423072	13.53400374	13.77004196
A_23_P102582	A_23_P102582	RAB5IF|TGIF2-RAB5IF	RAB5 interacting factor|TGIF2-RAB5IF readthrough	306378|8578127	55969|100527943	13.43634263	13.30656799	13.55880173	13.46373538	13.50830853	13.56319232	13.43807929	13.56667496	13.20699008	13.62177834	13.65144115	13.67019695
A_23_P102681	A_23_P102681	LINC01711	long intergenic non-protein coding RNA 1711	333841	79160	5.470917316	5.59285939	5.37090037	5.148501394	4.944527838	5.335608658	6.127437596	5.937301165	5.922336091	5.335608658	5.764253078	5.520752788
A_23_P102694	A_23_P102694	DEFB129	defensin beta 129	390993	140881	6.676872095	7.652142765	5.776097056	7.043385067	6.466053331	6.04448582	5.877827851	5.811676692	6.042581258	6.109337778	6.205023719	6.077209499
A_23_P102706	A_23_P102706	SNPH	syntaphilin	201683	9751	10.08544842	10.15209987	9.971245175	9.95968392	10.19410148	9.861895347	10.08182454	10.09274027	10.31338581	10.13822825	10.20670014	10.23185246
A_23_P102731	A_23_P102731	SMOX	spermine oxidase	285337	54498	10.24254742	10.50629548	9.897906792	10.70995089	10.74032563	10.59951024	10.72516359	10.66634517	11.02201156	11.36866657	11.05487883	11.2805481
A_23_P102832	A_23_P102832	CEP250	centrosomal protein 250	229170	11190	10.4934069	10.56165395	10.4368544	10.14422278	10.21867623	10.08968223	10.69256752	10.73567299	10.88495146	10.53677734	10.47092633	10.51642389
A_23_P102842	A_23_P102842	NFS1	NFS1, cysteine desulfurase	189524	9054	10.72979548	10.7515529	10.70689062	10.51803478	10.70318119	10.53920017	10.84427755	10.78293465	10.95130081	10.59802411	10.75306595	10.58746634
A_23_P102890	A_23_P102890	MRPS6	mitochondrial ribosomal protein S6	329936	64968	14.46122973	14.32568805	14.43807064	13.75795363	13.82603093	13.72989133	14.36368328	14.56467739	14.23620114	13.575601	13.56186442	13.55547545
A_23_P1029	A_23_P1029	MFAP2	microfibril associated protein 2	90861	4237	11.01904851	10.99838701	11.09009745	11.51202451	11.50618936	11.5046252	11.12854313	11.1867148	11.37135221	11.46234234	11.74478133	11.55268377
