GeneSymbol	NCBIid
LOC100128276	100128276
DNM1P35	100128285
LOC100128288	100128288
DLG5-AS1	100128292
LOC100128310	100128310
LOC100128317	100128317
LOC100128325	100128325
TRAPPC3L	100128327
FAM83H-AS1	100128338
LOC100128340	100128340
LOC100128361	100128361
LINC00696	100128378
FAM225B	100128385
LOC100128386	100128386
LOC100128398	100128398
LINC00892	100128420
LOC100128494	100128494
C20orf78	100128496
ASTN2-AS1	100128505
NEBL-AS1	100128511
LOC100128531	100128531
MIR29B2CHG	100128537
CTAGE4	100128553
LINC02347	100128554
MYHAS	100128560
LOC100128568	100128568
C19orf71	100128569
SLC8A1-AS1	100128590
LOC100128593	100128593
TMSB15B-AS1	100128594
CDC42P3	100128627
ACVR2B-AS1	100128640
LOC100128653	100128653
HPN-AS1	100128675
LINC01531	100128682
GPR50-AS1	100128688
LINC02346	100128714
OST4	100128731
RBPMS-AS1	100128750
LOC100128770	100128770
LINC00476	100128782
LINC01349	100128787
SRRM2-AS1	100128788
GPR158-AS1	100128811
LPEQ6126	100128818
LINC01003	100128822
VPS9D1-AS1	100128881
LOC100128882	100128882
LOC100128885	100128885
FAM66B	100128890
GATA6-AS1	100128893
LINC01960	100128905
LMLN2	100128908
ZBTB42	100128927
LINC01310	100128946
LOC100128966	100128966
MAPT-AS1	100128977
LOC100128988	100128988
LOC100128993	100128993
C20orf181	100128998
LOC100129027	100129027
PKP4-AS1	100129029
LOC100129034	100129034
LOC100129046	100129046
LOC100129055	100129055
SEMA3F-AS1	100129060
UNQ6494	100129066
KTN1-AS1	100129075
LOC100129083	100129083
BTNL10	100129094
LOC100129098	100129098
KHDC1L	100129128
LOC100129129	100129129
LOC100129138	100129138
LOC100129148	100129148
LOC100129175	100129175
ZSCAN16-AS1	100129195
MATN1-AS1	100129196
LOC100129203	100129203
SLC39A12-AS1	100129213
LOC100129215	100129215
DEFB131B	100129216
THCAT155	100129223
CXorf51A	100129239
SMIM27	100129250
LINC01160	100129269
C1orf68	100129271
TDRD15	100129278
LOC100129291	100129291
CD200R1L-AS1	100129297
LOC100129307	100129307
LOC100129316	100129316
LINC02291	100129345
LINC00484	100129347
NRADDP	100129354
SMIM10L1	100129361
C9orf92	100129385
GABPB1-AS1	100129387
FAM106CP	100129396
MSTO2P	100129405
FAM236A	100129407
RPL19P12	100129424
DDC-AS1	100129427
LOC100129434	100129434
LOC100129455	100129455
DPY19L1P1	100129460
LYRM4-AS1	100129461
LINC01546	100129464
MKRN2OS	100129480
ZNF37BP	100129482
LOC100129484	100129484
LOC100129503	100129503
ETDB	100129515
LINC02012	100129516
SOD2-OT1	100129518
TEX13C	100129520
MUC8	100129528
LOC100129534	100129534
LOC100129540	100129540
ZNF730	100129543
LINC02035	100129550
FAM47E	100129583
LINC00462	100129597
LOC100129603	100129603
LOC100129617	100129617
LOC100129620	100129620
LOC100129636	100129636
TCF24	100129654
FGF13-AS1	100129662
IZUMO3	100129669
LOC100129697	100129697
ARRDC3-AS1	100129716
STPG3-AS1	100129722
LOC100129724	100129724
LINC01126	100129726
MIR193BHG	100129781
CCDC152	100129792
SLC25A21-AS1	100129794
ZNF807	100129800
MRVI1-AS1	100129827
COL4A2-AS2	100129836
ZNF737	100129842
PCOLCE-AS1	100129845
SCOC-AS1	100129858
LOC100129878	100129878
LOC100129917	100129917
TMEM269	100129924
LOC100129931	100129931
LOC100129935	100129935
HMGA2-AS1	100129940
CCNT2-AS1	100129961
FAM205C	100129969
CERNA1	100129973
LINC01460	100129995
HDAC6	10013
URAHP	100130015
FTLP10	100130017
LOC100130027	100130027
LOC100130075	100130075
HSFX2	100130086
LOC100130111	100130111
MAPT-IT1	100130148
MIR124-2HG	100130155
LOC100130172	100130172
EFCAB14-AS1	100130197
LOC100130207	100130207
LINC00861	100130231
LOC100130238	100130238
PP2672	100130249
LOC100130256	100130256
LOC100130264	100130264
LOC100130268	100130268
CCDC166	100130274
TFAP2A-AS1	100130275
LOC100130283	100130283
LOC100130298	100130298
C8orf89	100130301
SUPT20HL1	100130302
C17orf107	100130311
LOC100130331	100130331
SCGB2B3P	100130342
LOC100130345	100130345
TMEM262	100130348
LOC100130357	100130357
CXorf49	100130361
LOC100130370	100130370
LOC100130373	100130373
LINC00552	100130386
LINC02593	100130417
CECR7	100130418
LOC100130449	100130449
LOC100130451	100130451
LOC100130452	100130452
CAND1.11	100130460
LOC100130476	100130476
LINC01387	100130480
TMEM221	100130519
CD300H	100130520
PARD6G-AS1	100130522
C10orf142	100130539
LOC100130548	100130548
NFYC-AS1	100130557
LINC00910	100130581
LOC100130587	100130587
PRR32	100130613
LOC100130673	100130673
LOC100130691	100130691
LOC100130698	100130698
TP53TG3HP	100130700
LOC100130701	100130701
ATP6V1FNB	100130705
HDHD5-AS1	100130717
LRRC70	100130733
LRRC69	100130742
LOC100130744	100130744
EFCAB10	100130771
AGAP2-AS1	100130776
SBK3	100130827
LOC100130849	100130849
USP3-AS1	100130855
LOC100130872	100130872
LOC100130880	100130880
ATE1-AS1	100130887
PSORS1C3	100130889
TSTD3	100130890
VAC14-AS1	100130894
SMIM6	100130933
ZNF663P	100130934
CSAG4	100130935
LOC100130950	100130950
LINC01502	100130954
SYCE1L	100130958
LOC100130964	100130964
C6orf99	100130967
LOC100130987	100130987
SPATA48	100130988
LOC100130992	100130992
ZNF316	100131017
LOC100131047	100131047
LINC01135	100131060
CKMT2-AS1	100131067
SRP14-AS1	100131089
DPP9-AS1	100131094
TNRC6C-AS1	100131096
LOC100131107	100131107
ZBTB20-AS1	100131117
BSPH1	100131137
LINC01405	100131138
WDR86-AS1	100131176
TSTD1	100131187
CCDC183-AS1	100131193
RPL21P28	100131205
SNAP25-AS1	100131208
NEMP2	100131211
ZNF503-AS2	100131213
MIR181A1HG	100131234
ANKRD63	100131244
LOC100131257	100131257
LOC100131289	100131289
DPEP2NB	100131303
LOC100131315	100131315
RAB6C-AS1	100131320
RDM1P5	100131347
LINC00605	100131366
C11orf91	100131378
SP9	100131390
LOC100131395	100131395
LINC00893	100131434
CD300LD	100131439
DBIL5P	100131454
LOC100131472	100131472
LOC100131496	100131496
LOC100131532	100131532
ZNF705E	100131539
LINC00887	100131551
FKSG29	100131561
CCDC18-AS1	100131564
LOC100131604	100131604
PRR23D1	100131608
LOC100131626	100131626
LOC100131635	100131635
ZNF236-DT	100131655
MZF1-AS1	100131691
FAM83A-AS1	100131726
USP30-AS1	100131733
ARMCX4	100131755
PET100	100131801
LINC00271	100131814
UBE2DNL	100131816
CADM3-AS1	100131825
ZNF717	100131827
INSYN2B	100131897
KRTAP25-1	100131902
LOC100131943	100131943
ZNF705G	100131980
FAM27E3	100131997
RRN3P3	100131998
LOC100132004	100132004
TEX13D	100132015
LOC100132057	100132057
LOC100132062	100132062
FOXO6	100132074
LOC100132077	100132077
LOC100132078	100132078
HERC2P7	100132101
FAM66E	100132103
C2CD4D-AS1	100132111
ACTA2-AS1	100132116
FAM240A	100132146
LINC01783	100132147
LOC100132154	100132154
CALML3-AS1	100132159
PHKA2-AS1	100132163
WASIR2	100132169
LINC01987	100132174
LOC100132202	100132202
LOC100132215	100132215
LINC00543	100132234
NPIPB5	100132247
LOC100132249	100132249
NDUFA6-DT	100132273
KIR2DS2	100132285
LOC100132287	100132287
TEKT4P2	100132288
FAM236B	100132304
CLUHP3	100132341
FRG1HP	100132352
LINC01512	100132354
LOC100132356	100132356
KRTAP4-9	100132386
ZNF705B	100132396
GAGE12D	100132399
FAM157B	100132403
NBPF10	100132406
FCGR1CP	100132417
CLDN24	100132463
FAM99B	100132464
KRTAP4-7	100132476
LINC01415	100132501
FGD5P1	100132526
TAT-AS1	100132529
GXYLT1P3	100132541
GOLGA8F	100132565
PGAM1P5	100132594
XGY2	100132596
LINC02312	100132612
ZRANB2-AS1	100132618
BSN-DT	100132677
LOC100132686	100132686
PAXIP1-AS2	100132707
CYP4F30P	100132708
DCAF13P3	100132724
FILNC1	100132735
LOC100132741	100132741
KDM4A-AS1	100132774
LOC100132781	100132781
LOC100132813	100132813
IPO5P1	100132815
LOC100132831	100132831
PMS2P9	100132832
MSC-AS1	100132891
DPH3P1	100132911
SHISAL2B	100132916
FAM66D	100132923
FAM25BP	100132929
FAM197Y9	100132932
FAM27C	100132948
SMIM9	100132963
FAM223A	100132967
GOLGA8DP	100132979
LINC00856	100132987
CXorf49B	100132994
RASA4DP	100133005
FAM95B1	100133036
LOC100133050	100133050
CXorf51B	100133053
LOC100133077	100133077
LOC100133091	100133091
FAM25G	100133093
FAM27B	100133121
LINC01203	100133123
LINC01001	100133161
FAM66A	100133172
C9orf147	100133204
LINC00240	100133205
GOLGA6L3	100133220
SBF1P1	100133234
PRR23D2	100133251
DEFB130B	100133267
LOC100133286	100133286
RSU1P2	100133308
HOXA-AS3	100133311
LOC100133315	100133315
PRO1804	100133319
LOC100133331	100133331
LINC02171	100133461
MRPL23-AS1	100133545
LINC01134	100133612
LY6E-DT	100133669
LOC100133920	100133920
CD24	100133941
UXT-AS1	100133957
LINC01816	100133985
MAP3K14-AS1	100133991
UBOX5-AS1	100134015
LOC100134040	100134040
KDM7A-DT	100134229
LINC01119	100134259
LOC100134317	100134317
LOC100134368	100134368
LOC100134391	100134391
LOC100134423	100134423
KCNJ18	100134444
NDUFB2-AS1	100134713
LOC100134868	100134868
UBE2Q2P2	100134869
TEN1	100134934
UPK3BL1	100134938
JMJD7	100137047
PLA2G4B	100137049
HDAC5	10014
C17orf99	100141515
CTAGE8	100142659
LOC100144595	100144595
LINC00029	100144596
LINC01056	100144597
EPHA5-AS1	100144602
CHKB-DT	100144603
LINC00930	100144604
KLLN	100144748
RNU7-1	100147744
TMCO1-AS1	100147773
PDCD6IP	10015
KRTAP20-4	100151643
RNU4ATAC	100151683
RNU6ATAC	100151684
SCARNA9L	100158262
PDCD6	10016
RNA5S1	100169751
TEX36-AS1	100169752
RNA5S2	100169753
RNA5S3	100169754
RNA5S4	100169755
RNA5S5	100169756
RNA5S6	100169757
RNA5S7	100169758
RNA5S8	100169759
RNA5S9	100169760
RNA5S10	100169761
RNA5S11	100169762
RNA5S12	100169763
RNA5S13	100169764
RNA5S14	100169765
RNA5S15	100169766
RNA5S16	100169767
RNA5S17	100169768
PATE3	100169851
PEG3-AS1	100169890
SNAR-A3	100169951
SNAR-A5	100169952
SNAR-A7	100169953
SNAR-A11	100169954
SNAR-A9	100169955
SNAR-A4	100169956
SNAR-A6	100169957
SNAR-A8	100169958
SNAR-A13	100169959
DBIL5P2	100169989
BCL2L10	10017
SNAR-A10	100170216
SNAR-B2	100170217
SNAR-C2	100170218
SNAR-C4	100170219
SNAR-E	100170220
SNAR-H	100170221
SNAR-I	100170222
SNAR-C5	100170223
SNAR-B1	100170224
SNAR-C1	100170225
SNAR-C3	100170226
SNAR-D	100170227
SNAR-G2	100170228
SRRM5	100170229
ERICH4	100170765
EPOP	100170841
TRIM59-IFT80	100174949
BCL2L11	10018
MIR1224	100187716
MIR1225	100188847
TOMM6	100188893
HECTD2-AS1	100188947
LINC00426	100188949
LINC00092	100188953
DNMBP-AS1	100188954
DCTN1-AS1	100189589
SH2B3	10019
RAMP2-AS1	100190938
TPT1-AS1	100190939
LINC02418	100190940
C5orf52	100190949
LOC100190986	100190986
C2CD4D	100191040
SNAR-A14	100191063
PPIAP30	100192204
ZFHX4-AS1	100192378
PP12613	100192379
FLJ16779	100192386
LINC01634	100192420
LOC100192426	100192426
CDH4	1002
GNE	10020
HCN4	10021
MANCR	100216001
FAR2P2	100216479
KMT2E-AS1	100216545
LINC01004	100216546
INSL5	10022
FRAT1	10023
LOC100233156	100233156
PCED1B-AS1	100233209
TROAP	10024
LOC100240728	100240728
LOC100240734	100240734
LOC100240735	100240735
MED16	10025
PIGK	10026
LOC100268168	100268168
LINC01432	100270679
CASC11	100270680
LOC100270746	100270746
LINC00653	100270804
LINC00940	100271702
ARHGEF33	100271715
LINC00899	100271722
LIMS3-LOC440895	100271835
SMG1P3	100271836
ERVV-2	100271846
MEF2B	100271849
AIRN	100271873
ZNRF2P2	100271874
RASA4B	100271927
CMC4	100272147
LOC100272217	100272217
LINC00894	100272228
BCDIN3D-AS1	100286844
LOC100286906	100286906
LOC100286922	100286922
LOC100286925	100286925
VPS13A-AS1	100286938
ANAPC1P1	100286979
LOC100286986	100286986
LOC100287010	100287010
LOC100287015	100287015
DDX11L10	100287029
LOC100287036	100287036
LOC100287042	100287042
FAM90A26	100287045
LOC100287049	100287049
LOC100287072	100287072
GACAT2	100287082
DEFT1P2	100287083
TONSL-AS1	100287098
DDX11L1	100287102
LINC00421	100287114
USP17L10	100287144
WASHC1	100287171
LOC100287175	100287175
EML2-AS1	100287177
USP17L11	100287178
USP17L12	100287205
SH3RF3-AS1	100287216
LINC01630	100287225
ZNF729	100287226
TIPARP-AS1	100287227
USP17L13	100287238
MANSC4	100287284
LOC100287290	100287290
LINC00941	100287314
USP17L17	100287327
LOC100287329	100287329
PRSS46P	100287362
USP17L18	100287364
OSTM1-AS1	100287366
LOC100287387	100287387
POTEB2	100287399
USP17L19	100287404
USP17L20	100287441
LOC100287467	100287467
USP17L21	100287478
SMKR1	100287482
LOC100287497	100287497
USP17L22	100287513
GLYATL1B	100287520
ADPGK-AS1	100287559
LINC00173	100287569
LINC02106	100287592
DDX11L5	100287596
LOXL1-AS1	100287616
SELENOKP3	100287632
MTHFD2P1	100287639
LOC100287704	100287704
ANKRD66	100287718
AP4B1-AS1	100287722
SMIM10L2B-AS1	100287728
LINC00630	100287765
LOC100287792	100287792
LOC100287808	100287808
LINC00582	100287814
LOC100287834	100287834
LOC100287837	100287837
LOC100287846	100287846
LINC00994	100287879
LOC100287896	100287896
TTC34	100287898
LGALS8-AS1	100287902
TIMM23	100287932
LOC100287944	100287944
LINC01699	100287948
LOC100288069	100288069
SDR42E2	100288072
WTAPP1	100288077
GS1-279B7.1	100288079
LDLRAD4-AS1	100288122
LOC100288123	100288123
NBPF20	100288142
SLC9A3-AS1	100288152
LOC100288162	100288162
LOC100288175	100288175
LNCOC1	100288181
HMGN3-AS1	100288198
LOC100288203	100288203
LOC100288208	100288208
LOC100288254	100288254
KRTAP22-2	100288287
KRTAP21-3	100288323
NPIPA5	100288332
NCAM1-AS1	100288346
ULK4P2	100288380
ERVMER34-1	100288413
LMCD1-AS1	100288428
IL10RB-DT	100288432
MTRNR2L7	100288485
DDX11L9	100288486
USP17L15	100288520
WI2-2373I1.2	100288524
REXO1L2P	100288527
LOC100288562	100288562
LOC100288570	100288570
WHAMMP1	100288615
LOC100288637	100288637
DUX4	100288687
LIMS4	100288695
LOC100288728	100288728
PAN3-AS1	100288730
LOC100288748	100288748
WASH8P	100288778
TMEM239	100288797
LOC100288798	100288798
FRG2C	100288801
HYDIN2	100288805
CLDN34	100288814
SRGAP3-AS3	100288831
B3GNT10	100288842
LOC100288846	100288846
LOC100288866	100288866
CRIM1-DT	100288911
PRSS43	100288960
LOC100288966	100288966
BMS1P21	100288974
MOXD2P	100289017
SLC25A25-AS1	100289019
LOC100289061	100289061
TSPY10	100289087
ATP2A1-AS1	100289092
FRG1CP	100289097
GS1-124K5.4	100289098
FAM27E2	100289124
FAM95C	100289137
FAM197Y5	100289150
GNG12-AS1	100289178
TMEM225B	100289187
FAM197Y4	100289188
LINC00624	100289211
LOC100289230	100289230
TMEM238L	100289255
DNAJC3-DT	100289274
CNTNAP3C	100289279
LOC100289333	100289333
MAN1B1-DT	100289341
LOC100289361	100289361
UBAC2-AS1	100289373
KCTD21-AS1	100289388
MCF2L-AS1	100289410
DEFB4B	100289462
LOC100289473	100289473
LOC100289495	100289495
KCNIP2-AS1	100289509
LOC100289511	100289511
LOC100289561	100289561
HERC2P4	100289574
LOC100289580	100289580
ZNF605	100289635
PSG8-AS1	100289650
LOC100289656	100289656
LINC01848	100289673
ZNF783	100289678
LOC100291105	100291105
LINC00942	100292680
ZNF587B	100293516
C4B_2	100293534
LOC100293612	100293612
LOC100294145	100294145
LOC100294362	100294362
NHEG1	100294720
CDH5	1003
MIR1184-1	100302111
MIR1284	100302112
MIR1200	100302113
MIR513C	100302114
MIR1468	100302115
MIR1265	100302116
MIR320B1	100302117
MIR1286	100302118
MIR1538	100302119
MIR1276	100302121
MIR1183	100302122
MIR1275	100302123
MIR1288	100302124
MIR1289-1	100302125
MIR1471	100302126
MIR1470	100302127
MIR1302-3	100302128
MIR1915	100302129
MIR1302-4	100302130
MIR302F	100302131
MIR1182	100302132
MIR1287	100302133
MIR1289-2	100302134
MIR320C1	100302135
MIR1252	100302136
MIR1914	100302137
MIR1292	100302138
MIR1537	100302139
MIR1302-6	100302140
MIR1913	100302141
MIR1246	100302142
MIR1248	100302143
MIR1912	100302144
MIR1247	100302145
MIR1302-5	100302146
MIR1302-7	100302147
MIR1263	100302148
MIR1249	100302149
MIR1296	100302150
MIR548N	100302152
MIR1298	100302153
MIR1256	100302155
MIR1229	100302156
MIR1185-1	100302157
MIR1231	100302158
MIR548F3	100302159
MIR1233-1	100302160
MIR1205	100302161
MIR1278	100302163
MIR2113	100302164
MIR1322	100302166
MIR1299	100302167
MIR1257	100302168
MIR320D2	100302169
MIR1206	100302170
MIR1321	100302171
MIR1258	100302172
MIR1307	100302174
MIR1207	100302175
MIR1269A	100302177
MIR1295A	100302178
MIR1270	100302179
MIR1294	100302181
MIR1279	100302182
MIR1825	100302183
MIR1272	100302184
MIR1204	100302185
MIR548I3	100302186
MIR1297	100302187
MIR1243	100302188
MIR1976	100302190
MIR548I4	100302191
MIR548F1	100302192
MIR1255A	100302193
MIR320C2	100302195
MIR1234	100302196
MIR1306	100302197
MIR1228	100302201
MIR1266	100302202
MIR1271	100302203
MIR548I1	100302204
MIR1283-2	100302205
MIR1253	100302208
MIR1185-2	100302209
MIR1909	100302210
MIR1203	100302211
MIR1324	100302212
MIR1181	100302213
MIR1277	100302214
MIR1827	100302217
MIR1285-1	100302218
MIR1245A	100302219
MIR1293	100302220
MIR1291	100302221
MIR1911	100302222
MIR1302-8	100302223
MIR2110	100302224
MIR2053	100302225
MIR1238	100302226
MIR1302-1	100302227
MIR1261	100302228
MIR1250	100302229
MIR1226	100302232
MIR1268A	100302233
MIR664A	100302234
MIR1179	100302235
MIR1260A	100302236
MIR1281	100302237
MIR103B1	100302238
MIR548F5	100302239
MIR1304	100302240
MIR1236	100302242
MIR1972-1	100302243
MIR1301	100302246
MIR1197	100302250
MIR1264	100302251
MIR1282	100302254
MIR1323	100302255
MIR1180	100302256
MIR1539	100302257
MIR1469	100302258
MIR1202	100302259
MIR2052	100302260
MIR1910	100302261
MIR1908	100302263
MIR1283-1	100302265
MIR2054	100302267
MIR1285-2	100302268
MIR1305	100302270
MIR1178	100302274
MIR548L	100302275
MIR1290	100302276
MIR548I2	100302277
MIR1302-2	100302278
MIR1262	100302279
MIR1237	100302280
MIR1208	100302281
MIR103B2	100302282
MIR1227	100302283
MIR1303	100302284
MIR1244-1	100302285
MIR1267	100302286
MIR548H3	100302287
MIR548P	100302288
MIR1251	100302289
MIR1973	100302290
RASAL2-AS1	100302401
PTCSC1	100302522
FAM41AY2	100302526
LINC00882	100302640
BRE-AS1	100302650
GPR75-ASB3	100302652
LINC00184	100302691
FTX	100302692
TMED7-TICAM2	100302736
PCNA-AS1	100302739
FAS-AS1	100302740
SNORA80B	100302743
NCRUPAR	100302746
TSNAX-DISC1	100303453
ZEB2-AS1	100303491
SLC25A5-AS1	100303728
LOC100303749	100303749
PET117	100303755
PITPNA-AS1	100306951
NDUFAF4P1	100306975
OTX2-AS1	100309464
LOC100310756	100310756
SPDYE2B	100310812
ANKRD61	100310846
MIR320B2	100313769
MIR548K	100313770
MIR548F2	100313771
MIR548M	100313772
MIR548H2	100313773
MIR302E	100313774
MIR670	100313777
MIR759	100313778
MIR2117	100313779
MIR2278	100313780
MIR718	100313781
MIR1255B1	100313806
MIR513B	100313822
MIR663B	100313824
MIR548O	100313829
MIR548H1	100313830
MIR1255B2	100313835
MIR762	100313837
MIR764	100313838
MIR2114	100313839
MIR2115	100313840
MIR548Q	100313841
MIR2276	100313842
MIR711	100313843
MIR548H4	100313884
MIR2116	100313886
MIR2277	100313887
MIR761	100313892
MIR548F4	100313895
MIR320D1	100313896
MIR548J	100313914
MIR548E	100313921
MIR449C	100313923
MIR548G	100313938
HOTTIP	100316868
SAP25	100316904
GCSHP3	100329109
TRPC5OS	100329135
LOC100335030	100335030
SNORA70F	100337591
CSN1S2BP	100337616
LINC00102	100359394
CHAF1A	10036
SNORA70G	100379132
SNORA70D	100379141
MACROD2-AS1	100379174
TMED11P	100379220
LOC100379224	100379224
BOK-AS1	100379249
SNORA70E	100379250
NPPA-AS1	100379251
MIR181A2HG	100379345
BACE1-AS	100379571
GRIK1-AS2	100379661
PARP2	10038
ZBED6	100381270
PARP3	10039
CDH6	1004
TOM1L1	10040
PRR20G	100419008
LOC100419170	100419170
LOC100419583	100419583
DBET	100419743
ZNF722P	100419780
ZNF33BP1	100419868
HMGXB4	10042
LOC100420587	100420587
FAM21EP	100421577
LOC100421746	100421746
LOC100422212	100422212
LOC100422556	100422556
SMG1P6	100422558
LINC02532	100422737
LOC100422781	100422781
MIR1273C	100422821
MIR4300	100422823
MIR3128	100422824
MIR3160-2	100422825
MIR4274	100422826
MIR3160-1	100422827
MIR4287	100422828
MIR4319	100422829
MIR3171	100422830
MIR1302-9	100422831
MIR3191	100422832
MIR3188	100422833
MIR1302-10	100422834
MIR3183	100422835
MIR3180-3	100422836
MIR1193	100422837
MIR3195	100422838
MIR3119-1	100422839
MIR4317	100422840
MIR3174	100422841
MIR3074	100422842
MIR4293	100422843
MIR3118-3	100422844
MIR1233-2	100422845
MIR3164	100422846
MIR514B	100422847
MIR4283-2	100422848
MIR548T	100422849
MIR548V	100422850
MIR4316	100422851
MIR4259	100422852
MIR3182	100422853
MIR3187	100422854
MIR4301	100422855
MIR3123	100422856
MIR4318	100422857
MIR4285	100422858
MIR3136	100422859
MIR4292	100422860
MIR4306	100422861
MIR548S	100422862
MIR4265	100422863
MIR544B	100422864
MIR4320	100422865
MIR3115	100422866
MIR378C	100422867
MIR4270	100422868
MIR3152	100422869
MIR3180-1	100422870
